candidate_id,candidate_family,representation,grid_size,order,sigma,surface_density,surface_trim_cutoff,surface_probe_radius,proximity_length_scale,padding,distance,score_mode,fit_order,order_decay_n0,af3_failure_rescue_rate,delta_rescue_vs_sc,pooled_af3_auroc,delta_af3_auroc_vs_sc,pooled_af3_average_precision,delta_af3_average_precision_vs_sc,pooled_all_auroc,delta_all_auroc_vs_sc,pooled_all_average_precision,delta_all_average_precision_vs_sc,pooled_af2_auroc,median_runtime_sec,runtime_ratio_vs_sc,runtime_ratio_vs_atom_baseline,sidechain_jitter_median_abs_delta,delta_sidechain_jitter_vs_sc,positive_median_score,negative_median_score,positive_minus_negative_median,positive_fraction_ge_0_95,negative_fraction_ge_0_95,score_min,score_max,score_dynamic_range,saturation_reject,production_eligible,diagnostic_only,diagnostic_pass,runtime_ok,robustness_pass,guardrail_pass,accepted_for_production,rank,recommended_candidate
interface_sc,sc_baseline,interface_sc,,,,,,,,,,baseline,,,0.0,0.0,0.6275177485448803,0.0,0.6286956311092338,0.0,0.6810568389450089,0.0,0.6637043072186571,0.0,0.7575827129555359,nan,1.0,nan,nan,0.0,0.08428026596002855,0.07006879238334171,0.01421147357668684,0.0,0.0,-0.12647099272640105,0.12435839104184365,0.2508293837682447,1,0,0,0,1,1,1,0,0,0
atom_gaussian__g32__o4__s1.5__mgapband__f12,grid_gap,atom_gaussian,32,4,1.5,,,,,2.0,8.0,gap_zernike_bandpass,12,,0.2193713919178961,0.2193713919178961,0.6635652389528358,0.03604749040795552,0.6697580382216822,0.04106240711244846,0.5701443473355254,-0.11091249160948347,0.5655192054856365,-0.09818510173302064,0.5036226142614196,nan,nan,nan,nan,nan,0.02677385784137416,0.023608934011023697,0.003164923830350462,0.0,0.0,0.001180759694066569,0.2223801730100718,0.22119941331600523,1,1,0,0,0,0,0,0,1,0
atom_gaussian__g32__o6__s1.5__mgapband__f12,grid_gap,atom_gaussian,32,6,1.5,,,,,2.0,8.0,gap_zernike_bandpass,12,,0.21039127645926875,0.21039127645926875,0.6577666196852243,0.030248871140344025,0.6635861690906127,0.03489053798137898,0.5559086541410866,-0.1251481848039223,0.5604747426547658,-0.10322956456389132,0.4839513151138026,nan,nan,nan,nan,nan,0.03959129138172047,0.037475475488523355,0.0021158158931971136,0.0,0.0,0.001977960589706489,0.30938059160923853,0.307402631019532,1,1,0,0,0,0,0,0,2,0
atom_gaussian__g32__o8__s1.5__mgapband__f12,grid_gap,atom_gaussian,32,8,1.5,,,,,2.0,8.0,gap_zernike_bandpass,12,,0.2059012187299551,0.2059012187299551,0.6525219899250907,0.0250042413802104,0.6576020708222797,0.02890643971304596,0.5453310702147541,-0.13572576873025477,0.5564788434651731,-0.10722546375348407,0.47149502200251475,nan,nan,nan,nan,nan,0.05193272394763605,0.05313737776785063,-0.0012046538202145768,0.0,0.0,0.002964396590802954,0.47097927387546895,0.468014877284666,1,1,0,0,0,0,0,0,3,0
atom_gaussian__g32__o0__s1.5__moverlap__f12,grid_gap,atom_gaussian,32,0,1.5,,,,,2.0,8.0,shared_grid_overlap,12,,0.20525978191148173,0.20525978191148173,0.6443911009317986,0.01687335238691834,0.6489019021672842,0.020206271058050396,0.5347790718866932,-0.14627776705831574,0.5518869439047217,-0.11181736331393544,0.4623980535629589,nan,nan,nan,nan,nan,0.07875075191259384,0.08714855834841728,-0.00839780643582344,0.0,0.0,0.004482648801058531,0.8706340193748474,0.8661513705737889,1,1,0,0,0,0,0,0,4,0
atom_gaussian__g32__o0__s1.5__mgapnonuniform__f12,grid_gap,atom_gaussian,32,0,1.5,,,,,2.0,8.0,gap_zernike_nonuniform,12,,0.20012828736369467,0.20012828736369467,0.6404771226476653,0.012959374102785026,0.6461448254382373,0.017449194329003492,0.5314693946484583,-0.14958744429655058,0.5500343498811125,-0.11366995733754459,0.4594920661888791,nan,nan,nan,nan,nan,0.07507888090599045,0.08329555780795186,-0.008216676901961414,0.0,0.0,0.004332120578960515,0.8615848667586063,0.8572527461796459,1,1,0,0,0,0,0,0,5,0
atom_gaussian__g32__o2__s1.5__mgapnonuniform__f12,grid_gap,atom_gaussian,32,2,1.5,,,,,2.0,8.0,gap_zernike_nonuniform,12,,0.19435535599743425,0.19435535599743425,0.6244417691123118,-0.003075979432568543,0.636615730366547,0.007920099257313185,0.5206037220844041,-0.16045311686060482,0.5450087453063798,-0.11869556191227737,0.452457305972998,nan,nan,nan,nan,nan,0.06305900522920964,0.07261759967746409,-0.009558594448254451,0.0,0.0,0.003798981475786002,0.8232583437186579,0.8194593622428719,1,1,0,0,0,0,0,0,6,0
atom_gaussian__g32__o10__s1.5__f12,per_side,atom_gaussian,32,10,1.5,,,,,2.0,8.0,hard_cutoff,12,,0.1892238614496472,0.1892238614496472,0.5701181713778612,-0.057399577167019045,0.62045838208262,-0.008237249026613713,0.5671121754323892,-0.11394466351261967,0.6047672113154774,-0.05893709590317975,0.565861604971953,nan,nan,nan,nan,nan,0.9684934514281095,0.9612645384183045,0.007228913009804994,0.687156683233063,0.6155593412833618,0.4192852317447367,0.9999656227075441,0.5806803909628073,1,0,1,0,0,0,0,0,7,0
