candidate_id,candidate_family,representation,grid_size,order,sigma,surface_density,surface_trim_cutoff,surface_probe_radius,proximity_length_scale,padding,distance,score_mode,fit_order,order_decay_n0,gap_band_soft_width,gap_contact_scale,sc_rescue_weight,sc_rescue_scale,sc_rescue_floor,af3_failure_rescue_rate,delta_rescue_vs_sc,pooled_af3_auroc,delta_af3_auroc_vs_sc,pooled_af3_average_precision,delta_af3_average_precision_vs_sc,pooled_all_auroc,delta_all_auroc_vs_sc,pooled_all_average_precision,delta_all_average_precision_vs_sc,pooled_af2_auroc,median_runtime_sec,runtime_ratio_vs_sc,runtime_ratio_vs_atom_baseline,sidechain_jitter_median_abs_delta,delta_sidechain_jitter_vs_sc,positive_median_score,negative_median_score,positive_minus_negative_median,positive_fraction_ge_0_95,negative_fraction_ge_0_95,score_min,score_max,score_dynamic_range,saturation_reject,production_eligible,diagnostic_only,diagnostic_pass,stage1_reject,af3_not_worse_than_current_atom_gap,improved_rescue_specialist,runtime_ok,robustness_pass,guardrail_pass,accepted_for_production,rank,recommended_candidate,normal_gap_contact_scale
interface_sc,sc_baseline,interface_sc,,,,,,,,,,baseline,,,,,,,,0.0,0.0,0.6275177485448803,0.0,0.6286956311092338,0.0,0.6810568389450089,0.0,0.6637043072186571,0.0,0.7575827129555359,nan,1.0,nan,nan,0.0,0.08428026596002855,0.07006879238334171,0.01421147357668684,0.0,0.0,-0.12647099272640105,0.12435839104184365,0.2508293837682447,0,0,0,0,0,1,0,1,1,1,0,0,0,
atom_gaussian__g32__o0__s1.5__mscoverlap__rs0.4__rf0.01__f12,sc_gated_rescue,atom_gaussian,32,0,1.5,,,,,2.0,8.0,sc_gated_overlap_rescue,12,,,,0.2,0.4,0.01,0.20397690827453496,0.20397690827453496,0.6648663638973716,0.03734861535249134,0.674086830506105,0.045391199396871196,0.7200065118875368,0.038949672942527935,0.7081436320273661,0.044439324808708935,0.7833004153277561,nan,nan,nan,nan,nan,0.09917926518552106,0.08564800983659124,0.013531255348929822,0.0,0.0,-0.09637024967105742,0.2507673827758029,0.34713763244686036,0,0,1,0,0,1,0,0,0,1,0,1,0,
atom_gaussian__g32__o10__s1.5__f12,per_side,atom_gaussian,32,10,1.5,,,,,2.0,8.0,hard_cutoff,12,,,,,,,0.1892238614496472,0.1892238614496472,0.5701181713778612,-0.057399577167019045,0.62045838208262,-0.008237249026613713,0.5671121754323892,-0.11394466351261967,0.6047672113154774,-0.05893709590317975,0.565861604971953,nan,nan,nan,nan,nan,0.9684934514281095,0.9612645384183045,0.007228913009804994,0.687156683233063,0.6155593412833618,0.4192852317447367,0.9999656227075441,0.5806803909628073,1,0,1,0,1,0,0,0,0,0,0,2,0,
