candidate_id,candidate_family,representation,grid_size,order,sigma,surface_density,surface_trim_cutoff,surface_probe_radius,proximity_length_scale,padding,distance,score_mode,fit_order,order_decay_n0,gap_band_soft_width,gap_contact_scale,af3_failure_rescue_rate,delta_rescue_vs_sc,pooled_af3_auroc,delta_af3_auroc_vs_sc,pooled_af3_average_precision,delta_af3_average_precision_vs_sc,pooled_all_auroc,delta_all_auroc_vs_sc,pooled_all_average_precision,delta_all_average_precision_vs_sc,pooled_af2_auroc,median_runtime_sec,runtime_ratio_vs_sc,runtime_ratio_vs_atom_baseline,sidechain_jitter_median_abs_delta,delta_sidechain_jitter_vs_sc,positive_median_score,negative_median_score,positive_minus_negative_median,positive_fraction_ge_0_95,negative_fraction_ge_0_95,score_min,score_max,score_dynamic_range,saturation_reject,production_eligible,diagnostic_only,diagnostic_pass,stage1_reject,af3_not_worse_than_current_atom_gap,improved_rescue_specialist,runtime_ok,robustness_pass,guardrail_pass,accepted_for_production,rank,recommended_candidate,normal_gap_contact_scale
interface_sc,sc_baseline,interface_sc,,,,,,,,,,baseline,,,,,0.0,0.0,0.619751387110542,0.0,0.6499858786103933,0.0,0.6733882101349888,0.0,0.666581650047519,0.0,0.7354083967683183,nan,1.0,nan,nan,0.0,0.0830696038063534,0.0677537638591309,0.015315839947222507,0.0,0.0,-0.051868442195203354,0.12435839104184365,0.17622683323704702,0,0,0,0,0,1,0,1,1,1,0,0,0,
atom_gaussian__g32__o6__s1__mgapsoft__f12,grid_gap,atom_gaussian,32,6,1.0,,,,,2.0,8.0,gap_zernike_soft_bandpass,12,,1.0,,0.20659340659340658,0.20659340659340658,0.6045849338454973,-0.015166453265044733,0.6547775867335047,0.004791708123111471,0.5311484876921967,-0.14223972244279215,0.5708729197473886,-0.09570873030013038,0.4957922757203568,nan,nan,nan,nan,nan,0.033982700836055243,0.03128848302047343,0.002694217815581816,0.0,0.0,1.5464327187863167e-05,0.3132123236703766,0.31319685934318875,1,1,0,0,1,0,0,0,0,0,0,1,0,
atom_gaussian__g32__o6__s1__mgapsoft__w2__f12,grid_gap,atom_gaussian,32,6,1.0,,,,,2.0,8.0,gap_zernike_soft_bandpass,12,,2.0,,0.2021978021978022,0.2021978021978022,0.601989970123773,-0.01776141698676903,0.6522722484912896,0.002286369880896366,0.528621959142424,-0.1447662509925648,0.5684396652984918,-0.09814198474902724,0.4939079064119927,nan,nan,nan,nan,nan,0.03750904940187838,0.03490777777077844,0.0026012716310999384,0.0,0.0,1.8103739779058283e-05,0.34218054421869376,0.3421624404789147,1,1,0,0,1,0,0,0,0,0,0,2,0,
atom_gaussian__g24__o6__s1.5__mgapsoft__w2__f12,grid_gap,atom_gaussian,24,6,1.5,,,,,2.0,8.0,gap_zernike_soft_bandpass,12,,2.0,,0.1967032967032967,0.1967032967032967,0.6219963721724285,0.0022449850618865286,0.6609485105255322,0.01096263191513891,0.5571293221684833,-0.11625888796650552,0.5880622251411134,-0.07851942490640562,0.5244181883279627,nan,nan,nan,nan,nan,0.07996268611083808,0.07144935908488892,0.00851332702594916,0.0,0.0,0.002308081606120828,0.41960202616039877,0.41729394455427793,1,1,0,0,1,0,0,0,0,0,0,3,0,
atom_gaussian__g32__o10__s1.5__f12,per_side,atom_gaussian,32,10,1.5,,,,,2.0,8.0,hard_cutoff,12,,,,0.19230769230769232,0.19230769230769232,0.5748666239863423,-0.044884763124199756,0.652729153945653,0.002743275335259754,0.5633294683462066,-0.11005874178878228,0.6179817759414655,-0.04859987410605349,0.5575802861190242,nan,nan,nan,nan,nan,0.9674981297921088,0.96027769474232,0.007220435049788754,0.6678571428571428,0.6078827690752906,0.49350266565115747,0.9999656227075441,0.5064629570563866,1,0,1,0,1,0,0,0,0,0,0,4,0,
atom_gaussian__g32__o0__s1.5__moverlap__f12,grid_gap,atom_gaussian,32,0,1.5,,,,,2.0,8.0,shared_grid_overlap,12,,,,0.189010989010989,0.189010989010989,0.6277544814340589,0.008003094323516868,0.662036510333608,0.012050631723214744,0.5239202474193315,-0.14946796271565732,0.559745481047799,-0.10683616899972004,0.469762138264917,nan,nan,nan,nan,nan,0.08874179795384407,0.10005319118499756,-0.011311393231153488,0.0,0.0,0.005329145584255457,0.8706340789794922,0.8653049333952367,1,1,0,0,1,0,0,0,0,0,0,5,0,
atom_gaussian__g32__o0__s1.5__mgapnonuniform__f12,grid_gap,atom_gaussian,32,0,1.5,,,,,2.0,8.0,gap_zernike_nonuniform,12,,,,0.1824175824175824,0.1824175824175824,0.6237825437473324,0.004031156636790434,0.6596483136567134,0.00966243504632014,0.521063803869198,-0.1523244062657908,0.5582268492753586,-0.10835480077216042,0.467560204859976,nan,nan,nan,nan,nan,0.08464709289872845,0.09539040362742335,-0.010743310728694902,0.0,0.0,0.005136090449158501,0.8615849199390601,0.8564488294899015,1,1,0,0,1,0,0,0,0,0,0,6,0,
atom_gaussian__g32__o2__s1.5__mgapnonuniform__f12,grid_gap,atom_gaussian,32,2,1.5,,,,,2.0,8.0,gap_zernike_nonuniform,12,,,,0.17912087912087912,0.17912087912087912,0.6076440460947503,-0.012107341015791695,0.6514928830010014,0.0015070043906081354,0.5119495777087996,-0.16143863242618928,0.5543486840645948,-0.1122329659829242,0.46300222606204955,nan,nan,nan,nan,nan,0.07164845967381567,0.08250758604510504,-0.010859126371289371,0.0,0.0,0.004624114007664241,0.8232583622979164,0.8186342482902521,1,1,0,0,1,0,0,0,0,0,0,7,0,
