candidate_id,candidate_score_pos_median,candidate_score_neg_median,normal_gap_score_from_fields_pos_median,normal_gap_score_from_fields_neg_median,normal_gap_contact_amount_pos_median,normal_gap_contact_amount_neg_median,normal_gap_contact_score_from_fields_pos_median,normal_gap_contact_score_from_fields_neg_median,normal_gap_good_mass_pos_median,normal_gap_good_mass_neg_median,normal_gap_clash_mass_pos_median,normal_gap_clash_mass_neg_median,normal_gap_far_mass_pos_median,normal_gap_far_mass_neg_median,normal_gap_good_structured_ratio_pos_median,normal_gap_good_structured_ratio_neg_median,normal_gap_clash_structured_ratio_pos_median,normal_gap_clash_structured_ratio_neg_median,normal_gap_far_structured_ratio_pos_median,normal_gap_far_structured_ratio_neg_median,normal_gap_good_signal_pos_median,normal_gap_good_signal_neg_median,normal_gap_clash_signal_pos_median,normal_gap_clash_signal_neg_median,normal_gap_far_signal_pos_median,normal_gap_far_signal_neg_median
surface_normal_gap__g24__o4__s1.5__d1.5__tr3__pr2.3__mnormalcontact__f12,0.16950152539633115,0.11209172115593263,0.5724153048372826,0.5842796822970515,0.2709142323555731,0.20335798692176077,0.16950152539633115,0.11209172115593263,783.6855513958981,345.0129281635915,346.452046267153,102.64720095523428,428.053412534427,222.14442840264047,0.2384228237349748,0.3165207603713322,0.2621263916353525,0.31245752403754606,0.2732986069152996,0.3680506033869103,157.98195140203836,113.67493456521089,101.02713746499872,30.563793460817447,125.85893432427534,88.88752359602638
surface_normal_gap__g24__o4__s1.5__d1.5__tr3__pr2.3__mnormalgap__f12,0.5724153048372826,0.5842796822970515,0.5724153048372826,0.5842796822970515,0.2709142323555731,0.20335798692176077,0.16950152539633115,0.11209172115593263,783.6855513958981,345.0129281635915,346.452046267153,102.64720095523428,428.053412534427,222.14442840264047,0.2384228237349748,0.3165207603713322,0.2621263916353525,0.31245752403754606,0.2732986069152996,0.3680506033869103,157.98195140203836,113.67493456521089,101.02713746499872,30.563793460817447,125.85893432427534,88.88752359602638
surface_normal_gap__g24__o6__s1.5__d1.5__tr3__pr2.3__mnormalcontact__f12,0.23329713044937722,0.17507411781888244,0.5745553804948265,0.6081745062748843,0.4060481171518294,0.28508746086270165,0.23329713044937722,0.17507411781888244,783.6855513958981,345.0129281635915,346.452046267153,102.64720095523428,428.053412534427,222.14442840264047,0.3960743002192218,0.50177763290144,0.4175068039358468,0.4736718597067067,0.4539561136829257,0.5180464711781749,260.4784841033547,167.7975333275405,152.20456162364846,49.630004157813936,211.0255405476249,126.11080374120128
surface_normal_gap__g24__o6__s1.5__d1.5__tr3__pr2.3__mnormalgap__f12,0.5745553804948265,0.6081745062748843,0.5745553804948265,0.6081745062748843,0.4060481171518294,0.28508746086270165,0.23329713044937722,0.17507411781888244,783.6855513958981,345.0129281635915,346.452046267153,102.64720095523428,428.053412534427,222.14442840264047,0.3960743002192218,0.50177763290144,0.4175068039358468,0.4736718597067067,0.4539561136829257,0.5180464711781749,260.4784841033547,167.7975333275405,152.20456162364846,49.630004157813936,211.0255405476249,126.11080374120128
surface_normal_gap__g24__o8__s1.5__d1.5__tr3__pr2.3__mnormalgap__f12,0.568611823461106,0.617849223899266,0.568611823461106,0.617849223899266,0.5312153186083817,0.3576898204322019,0.2835672917568532,0.22818688956641578,783.6855513958981,345.0129281635915,346.452046267153,102.64720095523428,428.053412534427,222.14442840264047,0.58535129551919,0.6779004037425999,0.6085306796868745,0.6329424838346316,0.6269391266985572,0.6565965808033843,378.8058587328157,221.34197311263355,215.17698880597646,66.68115541670731,272.4371438163032,153.7818078389687
surface_normal_gap__g32__o4__s1.5__d3__tr3__pr2.3__mnormalcontact__f12,0.3151074676679633,0.21554060978803333,0.5874186613452641,0.5961933792077034,0.5091937565707875,0.353228716980309,0.3151074676679633,0.21554060978803333,1695.8146743946195,711.0989152846113,745.3629537451925,219.86982508334088,833.4298578185283,425.4999419148491,0.23256702229655463,0.3064007984301234,0.2593974033241581,0.3162883519020969,0.28041877844527574,0.36452243749277563,355.85292265143755,217.8812754059996,222.14127284523687,60.53574496929611,236.53812123326665,166.34200409417488
surface_normal_gap__g32__o4__s1.5__d3__tr3__pr2.3__mnormalgap__f12,0.5874186613452641,0.5961933792077034,0.5874186613452641,0.5961933792077034,0.5091937565707875,0.353228716980309,0.3151074676679633,0.21554060978803333,1695.8146743946195,711.0989152846113,745.3629537451925,219.86982508334088,833.4298578185283,425.4999419148491,0.23256702229655463,0.3064007984301234,0.2593974033241581,0.3162883519020969,0.28041877844527574,0.36452243749277563,355.85292265143755,217.8812754059996,222.14127284523687,60.53574496929611,236.53812123326665,166.34200409417488
surface_normal_gap__g32__o6__s1.5__d3__tr3__pr2.3__mnormalcontact__f12,0.398853614508831,0.31842368431858115,0.5882374321530568,0.6267822909947836,0.6780486801884635,0.494768796804979,0.398853614508831,0.31842368431858115,1695.8146743946195,711.0989152846113,745.3629537451925,219.86982508334088,833.4298578185283,425.4999419148491,0.3921012858965525,0.5016797749222307,0.41484217538004464,0.4622839666304736,0.4532461553363547,0.5075791972735488,566.6774627880992,341.3695631845682,333.99531493009596,97.94114055087611,385.11698135582463,232.9284273645221
surface_normal_gap__g32__o6__s1.5__d3__tr3__pr2.3__mnormalgap__f12,0.5882374321530568,0.6267822909947836,0.5882374321530568,0.6267822909947836,0.6780486801884635,0.494768796804979,0.398853614508831,0.31842368431858115,1695.8146743946195,711.0989152846113,745.3629537451925,219.86982508334088,833.4298578185283,425.4999419148491,0.3921012858965525,0.5016797749222307,0.41484217538004464,0.4622839666304736,0.4532461553363547,0.5075791972735488,566.6774627880992,341.3695631845682,333.99531493009596,97.94114055087611,385.11698135582463,232.9284273645221
surface_normal_gap__g32__o8__s1.5__d3__tr3__pr2.3__mnormalgap__f12,0.5811084466402164,0.638514609486958,0.5811084466402164,0.638514609486958,0.8005356936133071,0.6018661794961058,0.4526069950442689,0.39318367368360385,1695.8146743946195,711.0989152846113,745.3629537451925,219.86982508334088,833.4298578185283,425.4999419148491,0.5824031210713282,0.6784122877703661,0.6036288472965623,0.6200258243202993,0.6140033543816169,0.6569165849308221,806.0599870072016,460.48354889465395,462.6058159595293,136.32496954045845,528.3227715287152,284.31646762477914
