candidate_id,method,organism,backend,label,n,q25,median,q75,mean
atom_gaussian__g32__o0__s1.5__moverlap__f12,"Atom Gap overlap (new, shared grid)",yeast,af2,negative,508,0.07713067717850208,0.11443191766738892,0.19152960553765297,0.14230925718865056
atom_gaussian__g32__o0__s1.5__moverlap__f12,"Atom Gap overlap (new, shared grid)",yeast,af2,positive,514,0.06415270455181599,0.09855463355779648,0.20217324793338776,0.14646686280167984
atom_gaussian__g32__o0__s1.5__moverlap__f12,"Atom Gap overlap (new, shared grid)",yeast,af3,negative,495,0.045860910788178444,0.05512816831469536,0.07612050324678421,0.07659654857007542
atom_gaussian__g32__o0__s1.5__moverlap__f12,"Atom Gap overlap (new, shared grid)",yeast,af3,positive,514,0.05575377680361271,0.06774164736270905,0.11919824033975601,0.10562351921116679
atom_gaussian__g32__o10__s1.5__f12,"Atom Zernike cosine (old, per-side)",arabidopsis,af2,negative,178,0.9337643317671521,0.9603803962663897,0.9820899094372568,0.9459531770387668
atom_gaussian__g32__o10__s1.5__f12,"Atom Zernike cosine (old, per-side)",arabidopsis,af2,positive,180,0.9476333754783891,0.967995089068335,0.9854185568488033,0.960397839824019
atom_gaussian__g32__o10__s1.5__f12,"Atom Zernike cosine (old, per-side)",arabidopsis,af3,negative,180,0.9262863913190181,0.9608989499494665,0.9786410629889977,0.9459104500582795
atom_gaussian__g32__o10__s1.5__f12,"Atom Zernike cosine (old, per-side)",arabidopsis,af3,positive,182,0.9448637902401629,0.969522041976745,0.9871083336656854,0.9574619140570567
atom_gaussian__g32__o10__s1.5__f12,"Atom Zernike cosine (old, per-side)",ecoli,af2,negative,89,0.9419503714043455,0.968356557206561,0.9825312185201669,0.9524274159167878
atom_gaussian__g32__o10__s1.5__f12,"Atom Zernike cosine (old, per-side)",ecoli,af2,positive,97,0.9416186432562305,0.9707530067396325,0.9862598521983119,0.9587976488132405
atom_gaussian__g32__o10__s1.5__f12,"Atom Zernike cosine (old, per-side)",ecoli,af3,negative,93,0.946391871665943,0.9702155041475125,0.9814807501926651,0.9583456697629728
atom_gaussian__g32__o10__s1.5__f12,"Atom Zernike cosine (old, per-side)",ecoli,af3,positive,96,0.9457210979500421,0.9707167221006017,0.9861653248834803,0.9576481850097687
atom_gaussian__g32__o10__s1.5__f12,"Atom Zernike cosine (old, per-side)",human,af2,negative,1127,0.9330313106611972,0.9630614813483164,0.9818580880258915,0.9492419583674527
atom_gaussian__g32__o10__s1.5__f12,"Atom Zernike cosine (old, per-side)",human,af2,positive,1140,0.9386506506254837,0.9687441685241485,0.9873209457286222,0.9560430908640108
atom_gaussian__g32__o10__s1.5__f12,"Atom Zernike cosine (old, per-side)",human,af3,negative,852,0.9233741697509346,0.956886106665877,0.9780913201663006,0.9432489245848046
atom_gaussian__g32__o10__s1.5__f12,"Atom Zernike cosine (old, per-side)",human,af3,positive,1100,0.9382644385146295,0.9660544369534256,0.9846294440097351,0.9541210456015456
atom_gaussian__g32__o10__s1.5__f12,"Atom Zernike cosine (old, per-side)",yeast,af2,negative,508,0.9272244630201476,0.9611441630627462,0.9815579999791599,0.9448575849375933
atom_gaussian__g32__o10__s1.5__f12,"Atom Zernike cosine (old, per-side)",yeast,af2,positive,514,0.9468607469862046,0.9707854374714693,0.9863482100105798,0.9592864836224299
atom_gaussian__g32__o10__s1.5__f12,"Atom Zernike cosine (old, per-side)",yeast,af3,negative,495,0.9283905956897069,0.9624673232526388,0.9813395076157339,0.9499234782668717
atom_gaussian__g32__o10__s1.5__f12,"Atom Zernike cosine (old, per-side)",yeast,af3,positive,514,0.94335562308741,0.9690118346747074,0.9858220708571772,0.9571520315247887
atom_gaussian__g32__o2__s1.5__mgapnonuniform__f12,Atom Gap nonuniform remove n<=2,arabidopsis,af2,negative,178,0.07250291854805987,0.11331209908964746,0.1670973277295606,0.13347537418081243
atom_gaussian__g32__o2__s1.5__mgapnonuniform__f12,Atom Gap nonuniform remove n<=2,arabidopsis,af2,positive,180,0.05072723540800099,0.08186245887945397,0.16179379215727113,0.1163876546796423
atom_gaussian__g32__o2__s1.5__mgapnonuniform__f12,Atom Gap nonuniform remove n<=2,arabidopsis,af3,negative,180,0.036711359808861956,0.04369344885473786,0.060015446776264844,0.058093606600402234
atom_gaussian__g32__o2__s1.5__mgapnonuniform__f12,Atom Gap nonuniform remove n<=2,arabidopsis,af3,positive,182,0.04254287602427819,0.04985478249652357,0.07616696930666543,0.0732656961939077
atom_gaussian__g32__o2__s1.5__mgapnonuniform__f12,Atom Gap nonuniform remove n<=2,ecoli,af2,negative,89,0.04777634248116293,0.07119621376843001,0.1259050878944975,0.09547611525437309
atom_gaussian__g32__o2__s1.5__mgapnonuniform__f12,Atom Gap nonuniform remove n<=2,ecoli,af2,positive,97,0.04326091060276029,0.050500272626340666,0.061869821511294394,0.06750454226339168
atom_gaussian__g32__o2__s1.5__mgapnonuniform__f12,Atom Gap nonuniform remove n<=2,ecoli,af3,negative,93,0.03304407531831981,0.03978696349382222,0.04660734025290889,0.045906318098716474
atom_gaussian__g32__o2__s1.5__mgapnonuniform__f12,Atom Gap nonuniform remove n<=2,ecoli,af3,positive,96,0.041742171513462684,0.04677367754670741,0.052843552763179556,0.05178987976031652
atom_gaussian__g32__o2__s1.5__mgapnonuniform__f12,Atom Gap nonuniform remove n<=2,human,af2,negative,1127,0.07358352822132602,0.11969003161769794,0.1921433136096528,0.14462226161679423
atom_gaussian__g32__o2__s1.5__mgapnonuniform__f12,Atom Gap nonuniform remove n<=2,human,af2,positive,1140,0.05313811631498408,0.10164243315929379,0.21083341307906434,0.14277178253014616
atom_gaussian__g32__o2__s1.5__mgapnonuniform__f12,Atom Gap nonuniform remove n<=2,human,af3,negative,852,0.03863869324308298,0.047964423448116314,0.07834427417762634,0.0769594594813443
atom_gaussian__g32__o2__s1.5__mgapnonuniform__f12,Atom Gap nonuniform remove n<=2,human,af3,positive,1100,0.044594548649437835,0.054686564300681625,0.12192857543412677,0.10334588179550898
atom_gaussian__g32__o2__s1.5__mgapnonuniform__f12,Atom Gap nonuniform remove n<=2,yeast,af2,negative,508,0.06366341164345259,0.09816196434732663,0.16174111800218471,0.12192350363647053
atom_gaussian__g32__o2__s1.5__mgapnonuniform__f12,Atom Gap nonuniform remove n<=2,yeast,af2,positive,514,0.04959090727405707,0.08058876509915544,0.17189507578488655,0.12285792276088238
atom_gaussian__g32__o2__s1.5__mgapnonuniform__f12,Atom Gap nonuniform remove n<=2,yeast,af3,negative,495,0.03659629272742423,0.04438345024760663,0.06315079077238123,0.0639202178089275
atom_gaussian__g32__o2__s1.5__mgapnonuniform__f12,Atom Gap nonuniform remove n<=2,yeast,af3,positive,514,0.04411618993049264,0.05207517987061894,0.0983663835522813,0.08697680254001898
atom_gaussian__g32__o4__s1.5__mgapband__f12,Atom Gap band n=2-4,arabidopsis,af2,negative,178,0.02078727556283828,0.032727163749179916,0.05121600502390122,0.03830139876987674
atom_gaussian__g32__o4__s1.5__mgapband__f12,Atom Gap band n=2-4,arabidopsis,af2,positive,180,0.022676843074261467,0.030291334392353927,0.04620698981300656,0.03739024355009571
atom_gaussian__g32__o4__s1.5__mgapband__f12,Atom Gap band n=2-4,arabidopsis,af3,negative,180,0.013507719172432969,0.017672360617151356,0.024833542221725728,0.020664962133859065
atom_gaussian__g32__o4__s1.5__mgapband__f12,Atom Gap band n=2-4,arabidopsis,af3,positive,182,0.018139206373079936,0.02229766773151832,0.030081320895313172,0.02728517014338669
atom_gaussian__g32__o4__s1.5__mgapband__f12,Atom Gap band n=2-4,ecoli,af2,negative,89,0.01828896115451022,0.025121449255072637,0.05083532531417713,0.035757455977032074
atom_gaussian__g32__o4__s1.5__mgapband__f12,Atom Gap band n=2-4,ecoli,af2,positive,97,0.018318477889107065,0.02420321947506855,0.02980169435832156,0.026793586468519235
atom_gaussian__g32__o4__s1.5__mgapband__f12,Atom Gap band n=2-4,ecoli,af3,negative,93,0.010547443267406892,0.014701948345607042,0.020028014047174213,0.016607797301788373
atom_gaussian__g32__o4__s1.5__mgapband__f12,Atom Gap band n=2-4,ecoli,af3,positive,96,0.015122387667308022,0.020878311826995136,0.02735973648547079,0.021978651706342722
atom_gaussian__g32__o4__s1.5__mgapband__f12,Atom Gap band n=2-4,human,af2,negative,1127,0.021845760213785786,0.036058034507878416,0.056086293019283716,0.0421643580146706
atom_gaussian__g32__o4__s1.5__mgapband__f12,Atom Gap band n=2-4,human,af2,positive,1140,0.02216530213296405,0.03252483029264566,0.056454131080672244,0.04312119106435066
atom_gaussian__g32__o4__s1.5__mgapband__f12,Atom Gap band n=2-4,human,af3,negative,852,0.013196045896114325,0.018188178867191616,0.02622605340216607,0.024398026371425904
atom_gaussian__g32__o4__s1.5__mgapband__f12,Atom Gap band n=2-4,human,af3,positive,1100,0.01804799894138984,0.024417755158901676,0.03848171882042546,0.03363778463221297
